0Dreamstars.ModTranslation-name|Traducciones para mods
Press while holding down direction (crouching) to drop object|Pulsa mientras mantienes la dirección hacia abajo (agacharse) para soltar un objeto
You have returned! You shouldn't be here, but I suppose that doesn't matter... to you atleast.|¡Has regresado! No deberías estar aquí, pero supongo que eso no importa... al menos para ti.
Thank you for visiting me, but again, it is dangerous here.|Gracias por visitarme, pero, de nuevo, es peligroso estar aquí.
Welcome back little messenger. I don't recommend staying for too long.|Bienvenido de nuevo, pequeño mensajero. No te recomiendo estar aquí por mucho tiempo.
Hello there.|Hola.
Are my words reaching you?|¿Te llegan mis palabras?
//2983159427
Darkness|Oscuridad
The Darkness|La oscuridad
DARKNESS|OSCURIDAD
A slugcat that grows up in the dark because of an accident, whose eyesight is gradually replaced by hearing.<LINE>It has a high adaptability to the dark, and embarks on the journey to find the same kind<LINE> who were separately under the ground when it was a child.|Un gatobabosa que creció en la oscuridad a causa de un accidente, cuya vista fue reemplazada<LINE>gradualmente por la audición. Tiene una buena adaptabilidad a la oscuridad y se embarca<LINE>en el viaje de encontrar a su misma especie que se ha separado debajo del suelo cuando era una cría.
//2987764922
Scorched District|Distrito Quemado
The Interface|La Interconexión
Distillation Column|Columna de Destilación
Skyline Railway|Vía Férrea del Horizonte
Lost Campfire|Fogata Perdida
//2987817211
Howling Rift|Grieta Ventosa
//2989757351
Marshland Wastes|Páramo de Cenagales
Garbage Wastes 2 Electric Boogaloo|Páramos de Residuos 2: Bugalú Eléctrico
Forgotten Tundra|Tundra Olvidada
Marshland Waste|Páramo de Cenagales
Industrial Ouput|Producción Industrial
The Slums|Los Barrios Bajos
Filter Residue|Residuos de Filtrado
Scav Factory|Fábrica Carroñera
Scav Town|Ciudad Carroñera
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Slush Dispenser|Dispensadores de Aguanieve
Frozen City|Ciudad Congelada
Sludge Pipeway|Tuberías de Aguas Residuales
//2999820529
Pup|Cría
Nightcat|Gato nocturno
//3003902112
The Tower|La Torre
//3013703284
Traveler|Viajero
The Traveler|El viajero
THE TRAVELER|EL VIAJERO
Nimble and agile,extremely sensitive to the flow of time<LINE>Came here from far away from the end of the world<LINE>Exploring the past buried under the snow|Sagaz y ágil, extremadamente sensible al flujo del tiempo.<LINE>Vino aquí de muy lejos, del final del mundo.<LINE>Explorando el pasado enterrado bajo la nieve.
//3014893271
Lush Mire|Lodazal Frondoso
Serene Grotto|Gruta Serena
//3014893557
Undersea|Bajo el Mar
The Lighthouse|El Faro
The Undercity |La Ciudad Baja
Hollowed Tunnels|Túneles Vaciados
//3016579669
Hallowed Grotto|Gruta Sagrada
Hallowed Depths|Profundidades Sagradas
Anchialine System|Formación Anquialina
Lost Facility|Instalación Perdida
Unstable System|Formación Inestable
Sealed Intelligence Unit|Unidad de Inteligencia Sellada
Research Station|Centro de Investigación
Dark Forest|Bosque Oscuro
Ancient Roots|Base Antigua
Hallowed Forest|Bosque Sagrado
Primordial Roots|Base Primordial
Lush Laboratory|Laboratorio Frondoso
Cicatrix|Cicatriz
Hallowed Caves|Cuevas Sagradas
Big Pebbles is watching|Grandes Guijarros está observando
Big Pebbles likes ruins too|A Grandes Guijarros también le gusta las ruinas
Big Pebbles is not disuaded by water|Grandes Guijarros no está disuadido por el agua
SCIENCE!|¡CIENCIA!
Big Pebbles does not like the implications of this subregion.|A Grandes Guijarros no le gusta las implicaciones de esta subregión
Moss Fields 2|Campos de Musgo 2
Mossy Depths|Profundidades Musgosas
Anchialine Moss|Musgo Anquialino
Lost Moss|Musgo Perdido
Unstable Moss|Musgo Inestable
Sealed Intelligence Moss|Musgo de Inteligencia Sellado
Feel the weight of the abyss|Siente el peso del abismo
Always watching Always watching Always watching Always watching Always watching|Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando
The better one|Mejor que la primera
Feel the darkness of the abyss|Siente la oscuridad del abismo
//3019770072
Coral Caves|Cuevas Coralinas
Bleached Grotto|Gruta Emblanquecida
Turbulent Pump|Bombas de Agua Turbulentas
Deep Reef|Arrecife Profundo
Stagnant Pump|Bombas de Agua Estancadas
Submerged Superstructure (Struts)|Superestructura Sumergida (Soportes)
//3022284148
Hanging Gardens|Jardines Colgantes
Enduring Sanctuary|Santuario Perdurable
Old Hanging Gardens|Jardines Colgantes Antiguos
//3024646162
Betrayed|Traicionado
The Betrayed|El traicionado
THE BETRAYED|EL TRAICIONADO
A frail mercenary, proficient in using intellect to best their adversaries.<LINE>On a difficult journey to right past wrongs, you will face more perilous situations than those who have come before you.|Un mercenario débil, idóneo en usar el intelecto para vencer a sus adversarios. En un viaje difícil para<LINE>sobrepasar los males, afrontarás más situaciones peligrosas que aquellos que han pasado antes que tú.
A vengeful craftsman and explosive enthusiast,<LINE>the Betrayed sets off into the unknown once more|Un artesano vengativo y entusiasta explosivo,<LINE>el Traicionado parte hacia lo desconocido una vez más.
Estranged|Separado
The Estranged|El separado
THE ESTRANGED|EL SEPARADO
Young and inexperienced, yet imbued with a combustible and volatile nature.<LINE>In spite of the situations you find yourself in, your journey will be one of curiosity and adventure.|Joven e inexperto, pero imbuido con un combustible y naturaleza volátil.<LINE>A pesar de las situaciones en las que te encuentras, tu viaje será una de curiosidad y aventura.
Disappointed by the findings of it's previous misadventures,<LINE>the Estranged sets out to find something of value once more|Decepcionado por los hallazgos de tus desventuras previas,<LINE>el Separado sale a encontrar algo de valor una vez más.
//3026723782
Far Shore|Orilla Lejana
Woven Nest|Nido Tejido
Caldera|Caldera
Tidal Pools|Pozas de Marea
Void Vents|Conductos del Vacío
Lost Strand|Litoral Perdido
//3032862920
Beacon|Almenara
The Beacon|La almenara
THE BEACON|LA ALMENARA
In the wake of night, a frail but agile slugcat with a strange luminosity makes their presence known.\nLight your path and journey far; time is of the essence when under pursuit.|Tras la noche, una delicada pero ágil gatobabosa con una luminosidad extraña hace conocer su presencia.<LINE>Ilumina tu camino y viaja más lejos; el tiempo es oro al estar bajo persecución.
Placeholder expedition description|Descripción de expedición provisional.
Photomaniac|Fotomaníaca
The Photomaniac|La fotomaníaca
THE PHOTOMANIAC|LA FOTOMANÍACA
A maniacal juvenile lost in the night, possessing a familiar luminosity.\nIts electrical abilities, though ill-wielded, give it a tactical advantage.|Una maníaca joven perdida en la noche, que posee una luminosidad familiar.<LINE>Sus habilidades eléctricas, aunque mal ejercidas, otorgan una ventaja táctica.
Dusky Smokestack|Chimeneas Fuscas
dusky smokestack|chimeneas fuscas
wind chimes|carillones de viento
sewers|alcantarillas
The Stargazer|La Miraestrellas
The Stargazer (Stygian Bowels)|La Miraestrellas (Intestinos Estigios)
The Stargazer (Braces)|La Miraestrellas (Soportes)
The Peak|El Punto más Alto
The Stargazer (Muted Chambers)|La Miraestrellas (Cámaras Apagadas)
The Stargazer (Ducts)|La Miraestrellas (Conductos)
the stargazer|la miraestrellas
braces|soportes
ducts|conductos
stygian bowels|intestinos estigios
muted chambers|cámaras apagadas
new moon|luna nueva
infinite sunrise|amanecer infinito
Disposal Unit|Unidad de Eliminación
disposal unit|unidad de eliminación
dancing monkeys|monos bailarines
Roaring Breach|Grieta de los Rugidos
Lightless Compound|Recinto Sombrío
lightless compound|recinto sombrío
i find it quite dark|encuentro muy oscuro este lugar
Barren Plains|Llanuras Estériles
barren plains|llanuras estériles
touch grass|toca césped
Misty Foundry|Fundición Vaporosa
Braces|Soportes
Clouded Walkway|Paso Nublado
misty foundry|fundición vaporosa
calm before the storm|calma antes de la tormenta
between fates|entre destinos
Neglected Underbelly|Parte Inferior Descuidada
Dead Spot|Punto Muerto
The Carcass|La Carcasa
The Carcass (Cerebellum)|La Carcasa (Cerebelo)
The Carcass (Vestige)|La Carcasa (Vestigio)
The Carcass (Guts)|La Carcasa (Tripas)
The Carcass (Arteries)|La Carcasa (Arterias)
The Carcass (Ventricles)|La Carcasa (Ventrículos)
rotten carcass|carcasa podrida
innards|entrañas
grieving brother|hermano de luto
vestige|vestigio
guts|tripas
arteries|arterias
ventricles|ventrículos
GET OUT|LÁRGATE
Voided Subterranean|Subterráneo Vacío
Null|Nulo
Event Horizon|Horizonte de Acontecimientos
Erstwhile Bastion|Bastión Vetusto
Nescient Graveyard|Cementerio Nesciente
erstwhile bastion|bastión vetusto
14.4 billion spiders|14 400 millones de arañas
graveyard|cementerio
crypts|criptas
Soaring Archipelago|Archipiélago Remontado
Apex|Ápice
soaring archipelago|archipiélago remontado
six miles above|diez kilómetros arriba
apex|ápice
Alleyways|Callejones
alleyways|callejones
unseen lands|tierras ocultas
Twilight Thicket|Maraña Crepuscular
twilight thicket|maraña crepuscular
luminous depths|profundidades luminosas
The Hide|La Piel
Laden Stilt|Pilote Cargado
Breached Passage|Pasaje Aportillado
Upheld Rampart|Muralla Sostenida
beast's hide|piel de la bestia
laden stilt|pilote cargado
belly of the beast|panza de la bestia
Solemn Drillsite|Área Solemne de Perforación
Septics|Fosas Sépticas
WHAT THE FUCK|QUÉ CARAJO
solemn drillsite|área solemne de perforación
forgotten crossroads|cruces olvidados
sopping wet|calado hasta los huesos
Scavenger Camp|Campo Carroñero
Deep Crypts|Criptas Profundas
//3035427908
Cosmospectre|Cosmospectro
The Cosmospectre|El cosmospectro
THE COSMOSPECTRE|EL COSMOSPECTRO
Falling down from the universe with cosmic energy, you have to regain all your abilities and find a way back|Caído del universo con energía cósmica, tienes que recuperar tus habilidades y encontrar tu regreso.
//3042385413
Stormy Coast|Costa Tempestuosa
Sunlit Port|Puerto Soleado
Desolate Port|Puerto Desolado
Shrouded Coast|Costa Nebulosa
//3050636729
CLIMAX|CLÍMAX
//3103123670
Side House|Región Secundaria
Leviathan Cave|Cueva de Leviatanes
Abandoned Factory|Fábrica Abandonada
//3120035228
Forager|Recolector
The Forager|El recolector
THE FORAGER|EL RECOLECTOR
A glutton capable of impressive mobility. Pride and indignance bring you to these frozen lands,<LINE>but surviving this expedition will require wits, tenacity, and use of your many tactical advantages.|Un comilón con una movilidad impresionante. El orgullo y la indignancia te llevan a estas tierras congeladas,<LINE>pero para sobrevivir en esta expedición requerirás de agudeza, tenacidad y uso de tus muchas ventajas tácticas.
Seeking to prove their worth and hone their skills,<LINE>the Forager sets out into the cold once more|Buscando probar su mérito y perfeccionar sus habilidades,<LINE>el Recolector parte hacia el frío una vez más.
//3138265033
Entropy|Entropía
The Entropy|La entropía
THE ENTROPY|LA ENTROPÍA
A slugpup who has escaped from confinement and wishes for peace.<LINE>While agile, it will prove difficult to find consistent food in a changing world.|Una cría de gatobabosa que ha escapado del confinamiento y desea paz.<LINE>Si bien es ágil, resultará complicado para hallar comida constante en un mundo cambiante.
A slugpup who has escaped from confinement.<LINE>While agile, its world is brutal.|Una cría de gatobabosa que ha escapado del confinamiento.<LINE>SI bien es ágil, su mundo es despiadado.
Marauder|Merodeador
The Marauder|El merodeador
THE MARAUDER|EL MERODEADOR
A thief and eater of carrion, you must rely on quick wits rather than strength.<LINE>Your journey will be rough, as the path you walk is a lonely one.|Un ladrón que come carroña, debes confiar en tu ingenio en lugar de tu fuerza.<LINE>Tu viaje será duro, ya que el sendero que caminas es uno solitario.
A thief and eater of carrion.<LINE>Starving gives a boost to power, but you are weak otherwise.|Un ladrón que come carroña.<LINE>La inanición te otorga poder, pero eres débil por otro lado.
Roccoco|Rococó
The Roccoco|El rococó
THE ROCCOCO|EL ROCOCÓ
Snooping, are we?|Husmeando, ¿verdad?
Looking for a challenge?|¿Buscando un desafío?
Dark Church|Iglesia Oscura
Drowning Metal|Metal en Aniego
Death Throes|Últimos Estertores
The Neon City|La Ciudad de Neón
Labyrinth of Minos|Laberinto de Minos
Agoraphobia|Agorafobia
Thanatophobia|Tanatofobia
Claustrophobia|Claustrofobia
Pouring Towers|Torres Diluviadas
Fridged Signal|Señal Refrigeradora
Flower's Paradise|Paraíso de la Flor
//3139436454
Exile|Desterrado
The Exile|El desterrado
EXILE|DESTERRADO
WIP Slugcat|Gatobabosa WIP
Night Walker|Noctámbulo
The Night Walker|El noctámbulo
NIGHT WALKER|NOCTÁMBULO
A powerful slugcat that consumes the vitality of its enemies, its journey is solitary and confusing. <LINE> Will you be able to find your way back or perhaps you will meet your ultimate death after so long?|Un gatobabosa poderoso que consume la vitalidad de sus enemigos, su viaje es solitario y confuso. <LINE> ¿Serás capaz de hallar tu regreso o te encontrarás con tu muerte final después de tanto tiempo?
Witness|Testigo
The Witness|El testigo
WITNESS|TESTIGO
An extremely agile omnivore, although this sometimes works against him<LINE>he does not like to be alone and prefers to be accompanied by others of his kind|Un omnívoro extremadamente ágil, aunque esto a veces le funciona en contra.<LINE>No le gusta estar solo y prefiere estar acompañado por otros de su especie.
Dark Density|Densidad Oscura
Crimson Domain|Dominio Carmesí
Eight Scarlet Pillars Internal Structure|Estructura Interna de Ocho Pilares Escarlatas
Fiery Depths|Profundidades Abrasadoras
OverClimb|Subida Elevada
Icy Garbage|Desperdicios Helados
Cold Urban|Ciudad Fría
The Bastion|El Bastión
//3144240203
Meteor|Meteoro
The Meteor|La meteoro
METEOR|METEORO
You once had two slugpups, but they disappeared. And you embarked on the Wanderer's journey to see them again.|Una vez tuviste dos crías de gatobabosa, pero desaparecieron,<LINE>y te embarcas en el viaje del trotamundos para verlas de nuevo.
//3147907848
Moss Fields|Campos de Musgo
//3162697023
The radiosphere|La Radiosfera
The pits |Los Pozos
The plateau|La Meseta
